,date_01,Time (GPS s),Velocity forward (m/s),Velocity lateral (m/s),Speed horizontal (m/s),Acceleration forward (m/s2),Acceleration lateral (m/s2),Acceleration down (m/s2),Acceleration filtered forward (m/s2),Acceleration filtered lateral (m/s2),Acceleration filtered down (m/s2),date,jerkRT,speedOpt,accLongOptFilt,accLatOptFilt,jerkOptFilt,speedOptKPH
9296,1900-01-01 14:29:12,1368415709,15.55753574,0.066800608,56.00764496,-0.149888577,1.71681536,-9.875797342,-0.129638528,1.771165007,-9.941954222,28:11.4,0.031758795,56.24296923573422,-0.013116261038243152,1.7457700911322716,0.01289399545932531,202.47468924864322
9297,1900-01-01 14:29:13,1368415710,15.55230812,0.064978763,55.9887979,0.048478042,1.850304424,-10.16778763,-0.084590101,1.752354014,-9.839985793,28:11.5,0.009113956,56.242343690264626,-0.011751889243121047,1.7483920025140518,0.013366679990923348,202.47243728495266
9298,1900-01-01 14:29:14,1368415710,15.54415144,0.06941517,55.95950316,-0.029070843,1.94818769,-10.23010691,-0.068875705,1.825269709,-10.16511033,28:11.6,0.108276415,56.24220991942211,-0.010342217348538903,1.7509243720865764,0.013818621754477026,202.4719557099196
9299,1900-01-01 14:29:15,1368415710,15.53496326,0.07741517,55.92656213,-0.126197649,1.634489683,-10.00348742,-0.108149958,1.834202334,-9.859108937,28:11.7,0.166313965,56.242583021289235,-0.008889644301499515,1.7533697739973266,0.014248407569471199,202.47329887664125
9300,1900-01-01 14:29:16,1368415710,15.53199841,0.08039106,55.91594323,0.036543268,1.781815781,-10.12508243,-0.070363642,1.785735254,-9.97520815,28:11.8,0.108725788,56.243477277937856,-0.007396699358270284,1.755730382130207,0.01465467757705152,202.4765182005763
9301,1900-01-01 14:29:17,1368415710,15.52979672,0.083065924,55.90806793,-0.054847711,1.595328607,-9.918750016,-0.023246986,1.788714051,-9.968560208,28:11.9,0.164281816,56.24490610748416,-0.00586603460303987,1.75800796641246,0.01503613005818406,202.48166198694298
9302,1900-01-01 14:29:18,1368415710,15.52634862,0.076486011,55.89553326,0.026533576,1.79732883,-9.993098108,-0.024667678,1.686753879,-9.865377037,28:12.0,0.195121076,56.246882018363145,-0.0043004172394139895,1.760203889051815,0.015391525466345706,202.48877526610733
9303,1900-01-01 14:29:19,1368415710,15.52731393,0.074985654,55.89898199,0.136620449,1.785539801,-9.815487045,-0.02007234,1.756352844,-9.86227145,28:12.1,0.053679851,56.24941656595249,-0.0027027217298213886,1.7623191010193442,0.01571968954543857,202.49789963742896
9304,1900-01-01 14:29:20,1368415710,15.530823,0.077309727,55.9116555,0.004281049,1.470471265,-9.819767303,0.007328493,1.758796778,-9.897673841,28:12.2,-0.063151829,56.25252031163536,-0.0010759219644346696,1.7643541388692454,0.016019515513971256,202.5090731218873
9305,1900-01-01 14:29:21,1368415710,15.53318978,0.072374526,55.92009021,-0.071428945,1.638906699,-9.934638692,0.009278983,1.759257669,-9.89733244,28:12.3,-0.051095978,56.25620278435383,0.0005769163346155827,1.7663091219211964,0.016289965504646398,202.5223300236738
9306,1900-01-01 14:29:22,1368415710,15.531597,0.074877434,55.91439896,-0.05262963,1.858615976,-9.998820091,-0.04920976,1.779195473,-9.986921279,28:12.4,-0.099440086,56.260472444664714,0.0022526429155188365,1.7681837500100244,0.01653007169409478,202.53770080079298
9307,1900-01-01 14:29:23,1368415711,15.52519481,0.084671367,55.89153253,-0.102980075,1.672126867,-9.936961996,-0.061856733,1.779009256,-9.924219803,28:12.5,-0.193345986,56.265336651287384,0.003948030206599235,1.7699773020205947,0.016738937625427112,202.55521194463458
9308,1900-01-01 14:29:24,1368415711,15.52439401,0.079405135,55.88854949,0.085740216,1.910426595,-9.789698703,-0.033979262,1.696564753,-9.905010891,28:12.6,-0.167176757,56.270801630154246,0.005659780738717142,1.7716886350874723,0.016915740132183565,202.5748858685553
