Index,vehSpd_RT,vehSpd_GoPro,accLong_RT,accLong_GoPro,accLat_RT,accLat_GoPro
141,16.05883825,15.65860806,0.592734434,-0.596043165,0.564558405,0.264028777
142,16.10410468,15.66755216,0.50403754,-0.031294964,0.578361987,0.206714628
143,16.14778563,15.86416985,0.415756398,-0.034204216,0.718253584,0.405654424
144,16.18281927,15.97160758,0.491438772,-0.248800959,0.6677316,0.535611511
145,16.21226339,15.72312346,0.3772195,-0.659232614,0.613813665,0.646043165
146,16.24547799,15.83316056,0.586039943,-0.434292566,0.634705588,0.759352518
147,16.2826499,16.00340931,0.207724209,0.435131894,0.840167426,1.063069544
148,16.31111975,16.10029656,0.371636114,0.219784173,0.920620791,1.304196643
149,16.34337458,16.14127957,0.469882151,-0.602675754,0.965107742,1.012621482
150,16.36604902,16.35844814,0.294124851,-0.761510791,0.907810731,0.784052758
151,16.37379997,16.90131546,0.265914973,-0.080815348,0.926381161,0.782014388
152,16.41481018,16.9308397,0.221884214,0.304556355,0.884976989,0.641007194
153,16.43970921,16.88185769,0.035741138,-0.402398082,0.534295322,0.876498801
154,16.4340151,16.84246845,0.308199685,-0.403130127,0.697441332,0.623501199
155,16.43967022,16.90432009,0.35585221,-0.115947242,0.883286961,0.777697842
156,16.46560268,16.59552349,-0.095259209,-0.351798561,0.399687656,0.382613909
157,16.49177817,16.63700677,0.14320676,-0.295923261,0.533154588,0.320383693
158,16.50056694,16.56066058,0.115926863,-0.01558753,0.633953346,0.0617506
159,16.50820649,16.38723784,0.288862572,-0.298119399,0.570428822,0.315789474
160,16.52591616,16.14039158,0.132711761,-0.42206235,0.41538415,0.094604317
161,16.55350682,16.22542897,0.084977009,-0.160671463,0.553554872,0.310551559
162,16.57378758,15.97107108,0.048644691,0.098561151,0.654300979,0.153597122
163,16.57013571,15.92412264,0.270934311,-0.373741007,0.707576515,0.474580336
164,16.56952206,15.98583264,0.142475579,-0.653956835,0.727958517,0.746882494
165,16.59801896,16.2274321,0.146799939,-0.191594093,0.877495632,0.758046195
166,16.62906575,16.28642273,-0.145486573,-0.102038369,0.97688536,0.972661871
167,16.64186229,16.42291539,0.023837273,-0.235731415,1.565609881,0.704316547
168,16.63734754,16.37493383,0.328020249,-0.176258993,1.238059312,0.808393285
169,16.6593524,16.42206156,0.290435859,-0.404556355,0.67121816,0.314028777
170,16.6790238,16.33342603,-0.090570623,-0.272876436,0.748794255,0.374984223
171,16.68505832,16.3812629,-0.109775179,-0.056714628,0.722743998,0.490647482
172,16.70572287,16.40301351,0.324168606,-0.198201439,0.939134523,0.35323741
173,16.72536713,16.44589182,0.282149534,-0.229976019,1.301891723,0.575539568
174,16.73049104,16.73172918,0.151060511,-0.208393285,1.028431295,0.656235012
175,16.74911522,16.66714862,0.220089972,-0.108872902,0.741240086,0.520623501
176,16.7748203,16.43139649,0.056057565,-0.089738735,0.616049988,0.415751609
