cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system,longAccel,latAccel
104100,2023-12-04T02:45:19.507Z,31.1536005,121.4813631,35.3338092,12.39802057,12.39375569,8738,9919.507261,99.99,0,MSLV,-0.314868106,0.909952038
104200,2023-12-04T02:45:19.606Z,31.15359296,121.4813658,35.33634609,12.30583628,12.3016031,8738,9919.606834,99.99,0,MSLV,-0.322541966,0.898920863
104300,2023-12-04T02:45:19.706Z,31.15358541,121.4813685,35.33888299,12.21365198,12.20945052,8738,9919.706407,99.99,0,MSLV,-0.328032311,0.895620346
104400,2023-12-04T02:45:19.805Z,31.15357787,121.4813712,35.34141988,12.12146769,12.11729794,8738,9919.80598,99.99,0,MSLV,-0.330215827,0.919544365
104500,2023-12-04T02:45:19.905Z,31.15357032,121.4813739,35.34395677,12.02928339,12.02514535,8738,9919.905553,99.99,0,MSLV,-0.315347722,0.921103118
104600,2023-12-04T02:45:20.004Z,31.15356278,121.4813767,35.34649366,11.9370991,11.93299277,8738,9920.005126,99.99,0,MSLV,-0.315467626,0.898081535
104700,2023-12-04T02:45:20.104Z,31.15355523,121.4813794,35.34903055,11.84491481,11.84084019,8738,9920.104699,99.99,0,MSLV,-0.327577938,0.900719424
104800,2023-12-04T02:45:20.204Z,31.15354769,121.4813821,35.35156744,11.75273051,11.74868761,8738,9920.204272,99.99,0,MSLV,-0.333093525,0.910791367
104900,2023-12-04T02:45:20.303Z,31.15354014,121.4813848,35.35410434,11.66054622,11.65653502,8738,9920.303845,99.99,0,MSLV,-0.321822542,0.9058753
105000,2023-12-04T02:45:20.403Z,31.1535326,121.4813875,35.35664123,11.56836192,11.56438244,8738,9920.403418,99.99,0,MSLV,-0.30263789,0.901318945
105100,2023-12-04T02:45:20.502Z,31.15352505,121.4813902,35.35917812,11.47617763,11.47222986,8738,9920.502991,99.99,0,MSLV,-0.313391392,0.902057302
105200,2023-12-04T02:45:20.602Z,31.15351751,121.481393,35.36171501,11.38399334,11.38007727,8738,9920.602564,99.99,0,MSLV,-0.350839329,0.93057554
105300,2023-12-04T02:45:20.701Z,31.15350996,121.4813957,35.3642519,11.29180904,11.28792469,8738,9920.702137,99.99,0,MSLV,-0.324460432,0.901438849
105400,2023-12-04T02:45:20.801Z,31.15350242,121.4813984,35.36678879,11.19962475,11.19577211,8738,9920.80171,99.99,0,MSLV,-0.316906475,0.885971223
